Campaign,Time,Operating mode,State,Cooler current [A],Header pressure [bar],Feed speed [rpm],Outlet valve position [%],Line 2 density [kg/m3],Mixer density [kg/m3],Mixer analyser [mg/l],Cooler speed [rpm],Tank density [kg/m3],Pump current [A],Total speed [rpm],Tank counter [pcs],Mixer speed [rpm],Mixer valve position [%],Reactor temperature [°C]
1,1782108529,idle,normal,8467.63,1.56863,351.014,77.9,137.377,41.0933,4.5523,0.0171871,15.648,0.123909,83.9061,112.5,13.7503,35.7,99.5583
1,1782108547,idle,normal,8431.92,1.5782,406.153,77.9,142.785,41.7408,4.5523,0.0729117,15.8404,0.15125,77.8263,115,13.0627,35.7,93.6638
1,1782108573,idle,normal,8558.07,1.55174,350.633,77.9,142.319,41.3248,4.5523,0.0259753,15.4682,0.102873,83.7656,115,13.3668,35.7,99.2165
1,1782108595,idle,normal,8637.69,1.5075,370.948,77.9,134.448,41.0601,4.5523,-0.011907,15.5459,0.0730571,84.7887,115,13.6936,35.7,100.312
1,1782108614,idle,normal,8706.28,1.5232,376.995,77.9,142.1,39.6755,4.5523,0.00359465,15.585,0.0663549,83.4868,115,13.3318,35.7,99.0703
1,1782108636,idle,normal,8829.33,1.51511,343.702,77.9,144.863,40.8373,4.5523,0.00207689,15.4009,0.061315,82.5071,112.5,13.2391,35.7,97.9413
1,1782108653,idle,normal,8827.74,1.52385,468.921,77.9,152.406,41.4331,4.5523,0.0147277,15.5822,0.0196783,83.5898,115,13.3812,35.7,99.1816
1,1782108673,idle,normal,8973.66,1.55311,447.395,77.9,149.22,41.0454,4.5523,0.0828636,15.5973,0.0602089,77.1569,115,12.516,35.7,92.7633
1,1782108698,idle,normal,8918.53,1.54063,578.519,77.9,148.269,41.5643,3.72397,0.135393,15.6747,0.0581108,73.5078,115,12.1606,35.7,89.1931
1,1782108718,idle,normal,8854.32,1.53895,595.906,77.9,152.097,41.2679,3.72397,0.134161,15.5669,0.0790058,72.3663,112.5,11.4851,35.7,
1,1782108741,idle,normal,8715.16,1.54127,480.402,77.9,151.879,42.1216,3.72397,0.132904,15.5196,0.0565824,73.8822,115,11.8146,35.7,89.3948
1,1782108767,idle,normal,8747.17,1.54475,502.762,77.9,161.464,41.526,3.72397,0.113812,15.3309,0.0484547,74.9144,112.5,12.2923,35.7,90.2716
1,1782108789,idle,normal,8748.45,1.51294,453.59,77.9,150.479,40.2391,3.72397,0.0882217,15.2247,0.0373169,76.7886,112.5,12.6796,35.7,92.0158
1,1782108809,idle,normal,8703.15,1.5673,535.475,77.9,167.048,41.5564,3.72397,0.12095,15.2914,0.0287608,75.4549,112.5,13.0807,35.7,90.7566
1,1782108829,idle,normal,8728.63,1.5552,535.933,77.9,158.078,41.1727,3.72397,0.122097,15.2934,0.038751,76.5584,115,12.5876,35.7,91.8274
1,1782108849,idle,normal,8809.35,1.56103,528.742,77.9,149.824,40.4043,3.72397,0.137281,15.2209,-4.46641e-05,73.7266,112.5,13.0773,35.7,88.9408
1,1782108866,idle,normal,8949.99,1.56855,544.303,77.9,144.241,41.7782,3.72397,0.135031,15.2511,0.0347913,73.189,110,12.8467,35.7,88.4299
1,1782108889,idle,normal,8879.36,1.55288,682.337,77.9,148.264,41.4165,3.72397,0.0882098,15.3177,0.067897,75.9257,112.5,12.5096,35.7,91.2319
1,1782108912,idle,normal,8767.97,1.51864,590.16,77.9,147.723,39.8415,3.72397,0.186497,15.4001,0.0714755,69.2881,115,11.5514,35.7,84.6963
1,1782108926,idle,normal,8770.41,1.55515,502.241,77.9,142.058,40.4914,3.31499,0.173815,15.4617,0.0612883,72.3361,112.5,11.7363,35.7,87.8016
1,1782108949,idle,normal,8730.83,1.5565,494.133,77.9,146.929,39.4488,3.31499,0.22877,15.7611,0.055268,67.5994,115,12.2572,35.7,83.3672
1,1782108971,idle,normal,8734.72,1.5529,463.049,77.9,131.66,39.251,3.31499,0.214344,15.6994,0.0377705,66.897,115,12.1289,35.7,82.6065
1,1782108992,idle,normal,8697.85,1.51846,484.413,77.9,136.03,38.8372,3.31499,0.211496,15.2676,0.0583931,68.1152,115,12.6824,35.7,83.3951
1,1782109011,idle,normal,8876.06,1.49835,398.556,77.9,130.047,37.8176,3.31499,0.187383,15.0608,0.0940615,71.195,117.5,12.3145,35.7,86.2604
1,1782109026,idle,normal,8920.84,1.55472,521.397,77.9,137.683,38.7096,3.31499,0.205372,15.3136,0.114111,68.0686,117.5,13.077,35.7,83.399
1,1782109052,idle,normal,8668.57,1.58883,417.341,77.9,137.39,38.1466,3.31499,0.189899,15.2256,0.103049,69.5244,115,12.2411,35.7,84.7768
1,1782109076,idle,normal,8710.55,1.57337,267.952,77.9,131.805,38.493,3.31499,0.137043,15.0333,0.129097,73.1186,120,12.1156,35.7,88.1302
1,1782109094,idle,normal,8926.1,1.56175,278.434,77.9,125.557,38.2913,3.31499,0.116981,15.8604,0.169164,73.1393,115,12.9074,35.7,88.9858
1,1782109116,idle,normal,8893.01,1.56863,345.803,77.9,118.851,37.7531,3.31499,0.127703,15.9173,0.158368,73.1099,115,12.3476,35.7,89.0428
1,1782109141,idle,normal,8840.85,1.50259,401.298,77.9,122.404,38.0138,3.31499,0.154213,15.7652,0.189267,73.3494,117.5,11.5176,35.7,89.1017
1,1782109162,idle,normal,8990.47,1.49249,522.027,77.9,117.961,38.1462,3.47516,0.12865,15.3627,0.16787,75.0067,115,11.8991,34.7,90.3804
1,1782109184,idle,normal,8966.77,1.5012,362.969,77.9,122.005,38.3764,3.47516,0.116335,15.2986,0.180505,73.6813,115,12.0386,34.7,
1,1782109202,idle,normal,8898.16,1.56568,318.994,77.9,135.493,38.7002,3.47516,0.0724332,15.4014,0.189012,79.7033,120,12.0252,34.7,95.1014
1,1782109225,idle,normal,8689.45,1.53742,306.247,77.9,142.108,37.7908,3.47516,0.0133151,15.5636,0.176301,83.237,117.5,11.8542,34.7,98.7955
1,1782109247,idle,normal,8750.54,1.55044,333.562,77.9,137.779,38.9099,3.47516,-0.0350983,15.7222,0.215298,86.5936,115,12.4283,34.7,102.296
1,1782109267,idle,normal,8953.39,1.50447,465.282,77.9,125.769,39.5994,3.47516,-0.0306638,15.4613,0.183186,87.515,117.5,12.9542,34.7,102.974
1,1782109289,idle,normal,9077.62,1.51115,613.453,77.9,123.902,38.7345,3.47516,0.024169,15.6301,0.165818,82.4565,115,12.6655,34.7,98.0643
1,1782109311,idle,normal,9131.84,1.54398,543.827,77.9,128.98,37.5979,3.47516,0.0972338,15.8366,0.150786,76.7078,117.5,11.7722,34.7,92.5494
1,1782109330,idle,normal,9187.75,1.50483,703.562,77.9,136.273,38.8028,3.47516,0.00914604,15.689,0.171164,83.7234,117.5,11.1289,34.7,99.4366
1,1782109355,idle,normal,9243.26,1.51694,631.562,77.9,137.035,38.7264,3.47516,-0.0398507,16.1336,0.14429,85.1355,120,11.0612,34.7,101.281
1,1782109376,idle,normal,9118.73,1.52032,638.074,77.9,130.864,39.0268,3.47516,0.0165544,15.962,0.125624,83.7167,117.5,10.4191,34.7,99.6806
1,1782109396,idle,normal,8966.91,1.49895,677.755,77.9,133.516,37.5589,3.90384,0.0587336,15.7186,0.174213,78.7869,117.5,10.5159,34.7,94.5059
1,1782109415,idle,normal,9041.21,1.51511,613.514,77.9,132.248,36.9388,3.90384,0.111992,15.5916,0.177022,74.2446,117.5,11.1031,34.7,89.8281
1,1782109430,idle,normal,8959.03,1.5376,607.707,77.9,135.605,37.0768,3.90384,0.178738,16.0356,0.179752,71.0057,120,11.6882,34.7,87.025
1,1782109448,idle,normal,8792.2,1.5237,576.033,77.9,138.298,36.576,3.90384,0.0982702,15.6458,0.171554,76.8624,117.5,12.069,34.7,92.5139
1,1782109470,idle,normal,8694.52,1.50543,473.242,77.9,122.12,36.6918,3.90384,0.165528,15.3676,0.194624,72.4107,120,12.0744,34.7,87.775
1,1782109491,idle,normal,8820.46,1.52833,443.359,77.9,116.271,36.8886,3.90384,0.109693,15.8078,0.228109,76.7635,120,12.6849,34.7,92.5596
1,1782109508,idle,normal,8780.56,1.54043,481.786,77.9,114.309,37.4698,3.90384,0.0703685,16.2069,0.246824,77.2128,120,13.1345,34.7,93.4193
1,1782109529,idle,normal,8793.09,1.5294,381.751,58,124.861,38.3887,3.90384,0.169971,16.1522,0.272,71.2104,120,12.7092,34.7,87.3494
1,1782109548,idle,normal,8730.48,1.3926,454.894,58,127.057,37.77,3.90384,0.176388,16.1891,0.283234,69.2924,115,12.8719,34.7,85.492
1,1782109567,idle,normal,8657.84,1.39319,426.323,58,120.961,38.4099,3.90384,0.217085,15.933,0.256374,67.5942,115,12.6415,34.7,83.5451
1,1782109584,idle,normal,8683.36,1.41643,447.409,58,131.01,35.4084,3.90384,0.211171,15.7105,0.232445,70.1855,112.5,13.1812,34.7,85.8973
1,1782109604,idle,normal,8685.52,1.39777,362.937,58,137.882,35.8333,3.99576,0.155277,15.6948,0.223828,71.9821,115,13.5258,34.7,87.6886
1,1782109630,idle,normal,8638.12,1.4185,285.924,58,132.468,36.526,3.99576,0.141722,15.6957,0.202504,71.8195,120,13.6976,34.7,87.5148
1,1782109651,idle,normal,8673.98,1.4184,299.294,58,127.482,36.0266,3.99576,0.185105,15.7142,0.242897,70.4907,115,13.7152,34.7,86.1969
1,1782109675,idle,normal,8616.59,1.44362,318.797,58,120.865,35.3464,3.99576,0.100414,15.5833,0.226545,75.954,112.5,13.8768,34.7,91.5459
1,1782109693,idle,normal,8589.86,1.42639,292.135,58,126.753,36.5342,3.99576,0.151144,15.7788,0.278959,73.2847,117.5,13.8354,34.7,89.0516
1,1782109717,idle,normal,8824.29,1.44992,195.187,58,123.828,36.5981,3.99576,0.142384,15.6973,0.287685,73.977,117.5,13.9934,34.7,89.691
1,1782109738,idle,normal,8758.73,1.40911,336.05,58,117.626,36.8776,3.99576,0.243151,15.973,0.296985,66.3107,115,13.9853,34.7,82.3073
1,1782109758,idle,normal,8883.91,1.43029,311.073,58,122.587,36.47,3.99576,0.161426,16.0569,0.296398,72.1233,115,13.0977,34.7,88.1722
1,1782109774,idle,normal,8785.45,1.40017,409.892,58,122.817,36.5038,3.99576,0.114569,16.0885,0.313993,74.4368,117.5,13.2638,34.7,90.5248
1,1782109800,idle,normal,8813.32,1.38374,361.426,58,127.62,35.9217,3.99576,0.122189,15.6515,0.307426,73.8381,115,12.6095,34.7,89.5095
1,1782109822,idle,normal,8885.03,1.40104,222.006,58,124.327,35.9837,3.99576,0.137081,15.5415,0.28218,75.145,115,12.7803,34.7,90.6805
1,1782109839,idle,normal,8931.63,1.43677,237.869,58,129.452,34.0553,3.61086,0.0858536,15.2745,0.259441,76.7102,115,13.3202,34.7,91.9839
1,1782109859,idle,normal,8867.36,1.45445,381.377,58,129.944,34.8164,3.61086,0.0203905,15.4596,0.27389,79.9143,117.5,13.1321,34.7,95.3821
1,1782109873,idle,normal,8998.94,1.47453,472.266,58,114.016,34.9531,3.61086,0.0697918,15.3022,0.277719,77.6346,112.5,12.0284,34.7,92.9327
1,1782109893,idle,normal,8899.17,1.45505,668.88,58,104.94,33.9439,3.61086,0.0760066,15.102,0.316213,78.4577,120,12.4423,34.7,93.5686
1,1782109909,idle,normal,8818.96,1.47894,685.998,58,107.972,35.7278,3.61086,0.091745,15.5452,0.356096,76.5094,117.5,11.7178,34.7,92.0435
1,1782109933,idle,normal,8735.78,1.50101,560.936,58,102.687,35.7579,3.61086,0.103213,15.5081,0.383131,77.6477,115,11.8037,34.7,93.1914
1,1782109955,idle,normal,8541.4,1.44455,516.69,58,99.7363,34.9441,3.61086,0.0297457,15.5465,0.354709,81.4609,117.5,12.3867,34.7,97.0313
1,1782109978,idle,normal,8678.81,1.4367,492.431,58,101.262,35.1748,3.61086,0.0107872,15.3966,0.336076,83.8308,115,12.7143,34.7,99.2353
1,1782109997,idle,normal,8595.5,1.47295,439.993,58,97.787,35.534,3.61086,0.0421454,15.1872,0.351775,81.2232,117.5,13.7281,34.7,96.4113
1,1782110018,idle,normal,8610.22,1.49129,442.974,58,115.292,34.7959,3.61086,0.138233,15.4848,0.331657,73.7635,117.5,13.2386,34.7,89.2506
1,1782110037,idle,normal,8704.08,1.48127,445.261,58,106.037,35.3544,3.61086,0.224621,15.2473,0.320273,67.7478,117.5,13.7977,34.7,83.0113
1,1782110054,idle,normal,8562,1.45426,439.919,58,103.768,35.4424,3.73682,0.213793,15.4361,0.346925,66.4717,117.5,13.668,34.7,81.925
1,1782110079,idle,normal,8630.37,1.47744,334.25,58,108.78,34.8535,3.73682,0.226178,15.4408,0.33975,68.5516,117.5,13.0938,34.7,83.9828
1,1782110100,idle,normal,8832.43,1.47188,394.985,58,105.578,34.6581,3.73682,0.177536,14.9023,0.323503,70.6299,117.5,13.297,34.7,85.5305
1,1782110120,idle,normal,8886.01,1.45815,540.249,58,105.873,34.1787,3.73682,0.201412,15.265,0.324894,67.8101,117.5,13.5576,34.7,83.0643
1,1782110140,idle,normal,8783.5,1.49299,562.658,58,99.6909,35.4747,3.73682,0.177287,15.2676,0.324415,72.4749,117.5,12.3561,34.7,87.7326
1,1782110159,idle,normal,8543.31,1.47989,433.878,58,96.7098,34.1246,3.73682,0.176861,15.0435,0.330049,70.288,117.5,12.4344,34.7,85.3262
1,1782110172,idle,normal,8671.09,1.47958,252.748,58,103.437,34.6653,3.73682,0.234238,14.8711,0.373128,67.3746,120,13.1884,34.7,82.2476
1,1782110188,idle,normal,8661.68,1.51254,376.13,58,93.2113,34.7963,3.73682,0.158533,15.0543,0.385258,72.9178,117.5,13.5206,34.7,87.9542
1,1782110209,idle,normal,8549.64,1.4853,365.464,58,103.561,33.535,3.73682,0.104001,15.0352,0.361008,77.712,117.5,12.8932,34.7,92.7411
1,1782110235,idle,normal,8673.47,1.50578,337.007,58,95.0057,34.0683,3.73682,0.100084,15.0353,0.364853,74.408,117.5,13.125,34.7,89.4718
1,1782110252,idle,normal,8692.11,1.52681,404.594,58,90.6925,33.1851,3.73682,0.186658,14.9654,0.361059,69.9884,117.5,13.0413,34.7,84.9319
1,1782110280,idle,normal,8479.81,1.49868,428.694,58,82.797,32.6989,3.7269,0.165968,14.6228,0.375862,70.1825,120,12.8103,55.6,84.793
1,1782110299,idle,normal,8612.03,1.49823,326.023,58,85.8035,34.6421,3.7269,0.146584,14.6922,0.383699,73.6056,117.5,12.5337,55.6,88.3034
1,1782110318,idle,normal,8573.58,1.52619,351.564,58,76.7316,32.8617,3.7269,0.0434071,14.6336,0.396325,80.6658,122.5,13.693,55.6,95.2768
1,1782110340,idle,normal,8481.77,1.53974,284.048,58,82.4346,32.1086,3.7269,0.117601,14.6702,0.449668,75.9368,117.5,13.3109,55.6,90.6003
1,1782110361,idle,normal,8403.18,1.53595,293.652,58,76.8986,32.6414,3.7269,0.0915327,14.726,0.49407,75.6842,120,13.2098,55.6,90.4083
1,1782110379,idle,normal,8446.06,1.53387,280.499,58,64.0491,34.0774,3.7269,0.0964647,14.7093,0.528705,77.1654,120,12.4103,55.6,91.8496
1,1782110396,idle,normal,8485.81,1.53992,341.632,58,66.6023,33.6724,3.7269,0.096625,14.9793,0.494663,76.203,117.5,13.2624,55.6,91.1969
1,1782110413,idle,normal,8646.23,1.53608,292.704,58,69.8226,32.9386,3.7269,0.0829069,15.1168,0.504862,78.6379,117.5,12.923,55.6,93.7744
1,1782110435,idle,normal,8539.16,1.50271,453.771,58,75.6138,33.3963,3.7269,0.118568,15.5021,0.516788,75.5451,117.5,12.7593,55.6,
1,1782110456,idle,normal,8557.28,1.49601,463.46,58,79.337,31.9147,3.7269,0.126549,15.4273,0.498057,75.6688,120,12.0804,55.6,91.1176
1,1782110475,idle,normal,8557.58,1.44703,417.323,58,67.1138,32.2967,3.7269,0.0263928,15.6361,0.496435,80.3024,120,12.3507,55.6,95.9398
1,1782110499,idle,normal,8601.67,1.4669,409.732,58,75.6877,32.4561,4.10224,-0.0361518,15.658,0.489063,85.0678,120,12.9456,55.6,100.724
1,1782110518,idle,normal,8565.6,1.45303,437.846,58,83.9713,32.2715,4.10224,0.0703837,15.4888,0.506488,80.9483,120,12.9678,55.6,96.4545
1,1782110537,idle,normal,8518.97,1.43787,414.482,58,80.4814,33.2775,4.10224,0.11284,15.2913,0.511875,76.0286,117.5,13.0771,55.6,
1,1782110556,idle,normal,8600.51,1.46046,283.16,58,81.2891,32.6948,4.10224,0.0652258,15.62,0.503189,81.1698,120,13.3358,55.6,96.7767
1,1782110577,idle,normal,8698.84,1.4524,375.635,58,85.5924,31.0019,4.10224,0.0765027,15.5105,0.552455,77.3366,120,13.8459,55.6,92.8361
1,1782110593,idle,normal,8604.63,1.43672,287.469,58,90.0086,30.7088,4.10224,0.128882,15.3001,0.532753,75.5299,117.5,12.9354,55.6,90.8425
1,1782110617,idle,normal,8707.66,1.4673,367.312,58,91.7234,32.2215,4.10224,0.129763,15.6352,0.499869,72.0702,120,12.6925,55.6,87.6942
1,1782110638,idle,normal,8454.76,1.46291,354.491,58,78.3707,30.9559,4.10224,0.10828,15.5422,0.517773,74.4587,122.5,12.7552,55.6,89.9945
1,1782110654,idle,normal,8436.84,1.43849,310.769,58,82.3958,32.2356,4.10224,0.147135,14.9097,0.508423,71.8935,122.5,13.163,55.6,86.8023
1,1782110675,idle,normal,8508.93,1.46296,377.887,58,77.9657,31.4164,4.10224,0.139566,15.3991,0.567021,72.5245,122.5,14.0748,55.6,
1,1782110694,idle,normal,8477.54,1.49739,369.741,58,71.2647,29.5433,4.10224,0.0982629,15.1952,0.586804,77.8645,122.5,13.8678,55.6,93.0654
1,1782110712,idle,normal,8493.74,1.49275,391.556,58,77.3873,29.9242,4.09531,0.100138,15.5735,0.604993,75.4848,122.5,13.8051,55.6,91.0572
1,1782110728,idle,normal,8402.35,1.49157,419.353,58,73.0149,31.9322,4.09531,0.0685494,15.2095,0.579051,81.8489,125,13.4396,55.6,97.0626
1,1782110748,idle,normal,8342.58,1.45762,294.372,58,56.5051,32.4015,4.09531,0.0679245,15.2774,0.560719,78.1011,117.5,13.2418,55.6,93.3576
1,1782110766,idle,normal,8421.2,1.48408,232.836,58,70.3152,32.5445,4.09531,0.105506,15.109,0.604838,76.9337,120,13.7932,55.6,92.051
1,1782110783,idle,normal,8241.65,1.48827,195.038,58,70.7659,33.2908,4.09531,0.16249,14.8319,0.644688,73.8354,122.5,14.0725,55.6,
1,1782110800,idle,normal,8252.08,1.49771,265.462,58,82.9291,33.105,4.09531,0.179846,15.4783,0.617297,70.0126,117.5,14.1636,55.6,85.4884
1,1782110816,idle,normal,8086.34,1.51627,337.229,58,77.0722,33.4153,4.09531,0.177586,15.4562,0.568231,70.2411,120,14.7852,55.6,85.694
1,1782110836,idle,normal,8089.66,1.46103,272.484,58,82.479,34.3999,4.09531,0.165628,15.9127,0.549052,70.6525,117.5,14.4762,55.6,86.5616
1,1782110857,idle,normal,8143.71,1.44117,265.879,58,83.8917,33.5004,4.09531,0.134929,15.6655,0.519531,72.5399,120,15.1481,55.6,88.2146
1,1782110873,idle,normal,8335.21,1.41274,241.813,58,84.9253,34.0152,4.09531,0.11512,15.5242,0.508104,76.5682,120,15.0687,55.6,92.1036
1,1782110895,idle,normal,8381.83,1.43297,360.214,58,96.675,33.3137,4.09531,0.122135,15.6117,0.492537,76.7241,120,15.3503,55.6,92.3537
1,1782110911,idle,normal,8358.02,1.45912,301.286,58,96.4458,35.3262,4.78627,0.0632458,15.774,0.483827,78.5547,117.5,15.0225,55.6,94.3444
1,1782110929,idle,normal,8264.67,1.45946,324.349,58,103.563,34.2465,4.78627,0.188229,15.9162,0.468031,70.7331,120,14.7318,55.6,86.6303
1,1782110947,idle,normal,8367.56,1.41228,295.011,58,91.4388,35.1172,4.78627,0.156128,15.9845,0.480738,69.6979,115,14.5693,55.6,85.688
1,1782110964,idle,normal,8332.62,1.40255,321.917,65.9,110.093,35.5077,4.78627,0.138377,16.0769,0.488909,68.7335,117.5,15.0219,55.6,84.783
1,1782110983,idle,normal,8372.13,1.45147,139.217,65.9,105.558,36.0619,4.78627,0.18995,15.9049,0.469497,69.8642,117.5,14.4802,55.6,85.7538
1,1782111002,idle,normal,8454.99,1.43451,209.087,65.9,125.652,35.575,4.78627,0.187112,16.1056,0.409788,70.343,117.5,15.0543,55.6,86.4285
1,1782111021,idle,normal,8552.68,1.42364,242.542,65.9,122.804,35.6226,4.78627,0.221843,16.0422,0.43015,65.6963,112.5,14.5129,55.6,81.7411
1,1782111035,idle,normal,8790.81,1.42359,264.14,65.9,123.7,36.311,4.78627,0.206705,15.6731,0.393099,69.2019,117.5,14.2961,55.6,84.8649
1,1782111055,idle,normal,8676.71,1.44468,359.685,65.9,115.836,35.7347,4.78627,0.207004,15.8097,0.373316,68.0862,115,13.7242,55.6,
1,1782111070,idle,normal,8566.19,1.44874,342.167,65.9,131.258,36.0238,4.78627,0.182897,15.7406,0.371167,70.0253,117.5,13.1672,55.6,85.7905
1,1782111095,idle,normal,8559.32,1.44992,282.966,65.9,131.567,37.4677,4.78627,0.18784,15.9163,0.376058,69.0214,117.5,13.365,55.6,84.9756
1,1782111118,idle,normal,8460.02,1.47822,210.352,65.9,123.57,36.5211,4.11841,0.138704,16.0257,0.364383,74.5789,115,13.8764,55.6,90.6335
1,1782111144,idle,normal,8533.6,1.41436,172.599,65.9,121.777,37.0007,4.11841,0.123206,16.0454,0.368949,74.837,117.5,13.7314,55.6,90.8857
1,1782111161,idle,normal,8684.64,1.45935,245.042,65.9,127.613,37.0548,4.11841,0.0796649,16.1234,0.343548,76.3025,117.5,14.1028,55.6,92.4159
1,1782111182,idle,normal,8709.2,1.444,342.489,65.9,121.651,36.7587,4.11841,0.108754,15.9762,0.330974,75.2374,115,13.7647,55.6,91.2108
1,1782111205,idle,normal,8689.27,1.42421,324.077,65.9,131.837,35.7856,4.11841,0.132642,16.1687,0.318706,74.9267,115,13.2247,55.6,91.0831
1,1782111225,idle,normal,8598.38,1.43463,369.218,65.9,131.514,36.806,4.11841,0.161309,15.9675,0.328483,73.8757,117.5,12.9263,55.6,89.833
1,1782111243,idle,normal,8532.17,1.44282,257.033,65.9,127.173,36.8621,4.11841,0.0741156,16.0523,0.322926,75.8701,117.5,13.3955,55.6,91.9207
1,1782111262,idle,normal,8719.46,1.41452,233.09,65.9,129.502,37.41,4.11841,0.040781,16.2001,0.313389,81.9389,120,13.61,55.6,98.1316
1,1782111282,idle,normal,8685.29,1.44141,305.452,65.9,118.637,36.8838,4.11841,0.0687186,15.9945,0.377379,80.3153,117.5,13.9562,55.6,96.3012
1,1782111299,idle,normal,8747.16,1.45219,297.289,65.9,123.546,36.2196,4.11841,0.0474279,15.4782,0.338497,79.7447,117.5,13.3079,55.6,95.2306
1,1782111318,idle,normal,8692.49,1.42516,365.862,65.9,133.001,36.8583,4.11841,0.0948032,15.8536,0.35628,77.0588,117.5,13.4483,55.6,92.9014
1,1782111342,idle,normal,8798.2,1.47691,392.713,65.9,127.686,37.2289,4.03106,0.0870755,15.4148,0.361446,78.0879,115,13.1493,79,93.4843
1,1782111365,idle,normal,8650.04,1.46697,421.646,65.9,129.427,36.4373,4.03106,0.131214,15.278,0.32106,74.2364,117.5,13.2707,79,
