aikaleima;dens_22;speed_99;torque_30;flow_98;analyzer_82;valve_27;humid_13;setp_76;ph_52;ph_05;total_70;ph_85
17.06.2026 06:03:30;509,807;9,9689;164,348;1272,84;8,18449;63,8;451,392;31,4;273,437;1888,67;1285,77;12,9516
17.06.2026 06:03:40;516,559;9,50083;179,636;1145,45;8,18449;63,8;456,561;31,4;287,874;1927,05;1158,42;12,9627
17.06.2026 06:03:50;504,682;9,39425;186,955;1134,86;8,18449;63,8;453,876;31,4;289,983;1908,12;1147,89;13,0463
17.06.2026 06:04:00;528,589;9,78557;155,025;1089,93;8,18449;63,8;449,328;31,4;292,444;1969,44;1102,5;12,5771
17.06.2026 06:04:10;554,514;9,51032;137,031;1195,64;8,18449;63,8;441,021;31,4;295,038;2050,88;1208,34;12,6969
17.06.2026 06:04:20;544,902;9,5989;128,758;1231,58;8,18449;63,8;447,679;31,4;278,27;2043,69;1244,27;12,6928
17.06.2026 06:04:30;549,189;9,24863;107,681;1177,17;8,18449;63,8;449,502;31,4;294,105;1980,08;1189,24;12,0889
17.06.2026 06:04:40;554,584;9,23286;75,7378;1167,9;7,94202;63,8;446,639;31,4;289,068;1882,82;1180,02;12,1146
17.06.2026 06:04:50;576,159;9,03161;114,672;1115,65;7,94202;63,8;453,899;31,4;296,146;1891,87;1127,8;12,1276
17.06.2026 06:05:00;569,213;9,32757;126,534;1148,25;7,94202;63,8;448,872;31,4;288,818;1845,44;1161,11;12,8248
17.06.2026 06:05:10;560,754;9,4194;131,47;1149,69;7,94202;63,8;455,038;31,4;299,502;1813,32;1162,31;12,6311
17.06.2026 06:05:20;562,169;9,59321;147,192;1240,45;7,94202;63,8;446,587;31,4;286,504;1861,54;1253,25;12,8148
17.06.2026 06:05:30;561,272;9,65216;131,464;1200,91;7,94202;63,8;446,753;31,4;282,3;1898,71;1213,51;12,653
17.06.2026 06:05:40;551,47;9,3007;127,469;1203,24;7,94202;63,8;442,858;31,4;288,881;1882,51;1215,82;12,5697
17.06.2026 06:05:50;565,786;9,70898;90,8702;1150,38;7,94202;63,8;433,23;31,4;281,901;1905,86;1162,64;12,2755
17.06.2026 06:06:00;573,412;8,66191;110,423;1117,64;7,94202;63,8;437,02;31,4;294,94;1893,83;1129,78;12,1582
17.06.2026 06:06:10;563,175;8,59084;108,469;1175,9;7,7672;63,8;446,629;31,4;293,71;1867,93;1188,49;12,6117
17.06.2026 06:06:20;584,507;7,98599;100,46;1105,51;7,7672;63,8;453,494;76,7;304,872;1829,95;1117,7;12,2062
17.06.2026 06:06:30;556,003;7,69375;101,228;1202,82;7,7672;63,8;447,926;76,7;314,878;1862,89;1215,45;12,6426
17.06.2026 06:06:40;538,057;8,05858;144,883;1187,09;7,7672;63,8;450,979;76,7;300,23;1890,18;1200,32;13,2501
17.06.2026 06:06:50;550,24;8,34019;172,867;1271,88;7,7672;63,8;442,726;76,7;295,957;1896,88;1285,53;13,6904
17.06.2026 06:07:00;526,068;9,0681;194,809;1296,82;7,7672;63,8;445,659;76,7;286,562;1871,78;1310,83;14,0082
17.06.2026 06:07:10;514,697;9,03978;180,308;1300,33;7,7672;63,8;455,968;76,7;281,289;1978,85;1314,12;13,7982
17.06.2026 06:07:20;514,215;9,08134;162,963;1245,66;7,7672;63,8;451,516;76,7;285,618;1997,98;1259,15;13,4475
17.06.2026 06:07:30;518,693;8,84203;161,153;1178,26;7,7672;63,8;455,321;76,7;289,722;2045,45;1191,32;13,0278
17.06.2026 06:07:40;517,098;9,28755;182,011;1154,69;7,99095;63,8;454,156;76,7;294,449;2027,55;1167,69;13,0205
17.06.2026 06:07:50;520,576;9,50846;164,368;1186,23;7,99095;63,8;453,665;76,7;278,878;2013,79;1199,39;13,1944
17.06.2026 06:08:00;519,325;9,3566;155,219;1240,81;7,99095;63,8;441,775;76,7;288,39;1979,02;1254,01;13,199
17.06.2026 06:08:10;518,146;9,01512;167,05;1223,97;7,99095;63,8;455,591;76,7;283,014;1972,08;1237,01;13,0385
17.06.2026 06:08:20;525,176;9,05741;112,458;1149,37;7,99095;63,8;452,513;76,7;280,282;1973,12;1161,49;12,1172
17.06.2026 06:08:30;508,151;8,96399;116,144;1202,86;7,99095;63,8;450,822;76,7;294,28;1943,63;1215,57;12,7045
17.06.2026 06:08:40;499,55;8,61975;147,304;1183,03;7,99095;63,8;441,252;76,7;298,74;1945,81;1195,7;12,6684
17.06.2026 06:08:50;500,416;9,30689;166,177;1131,27;7,99095;63,8;429,649;76,7;278,252;1846,69;1144,16;12,9105
17.06.2026 06:09:00;503,763;9,13764;190,817;1224,63;7,99095;63,8;432,51;76,7;288,18;1907,76;1237,96;13,3108
17.06.2026 06:09:10;495,12;9,39709;155,075;1290,75;8,17588;63,8;433,962;76,7;284,331;1907,72;1304,02;13,2334
17.06.2026 06:09:20;489,409;9,03942;142,436;1143,83;8,17588;63,8;437,429;76,7;293,892;1988,77;1156,65;12,8108
17.06.2026 06:09:30;487,733;8,81495;136,871;1248,62;8,17588;63,8;440,829;76,7;310,661;2050,91;1261,66;13,0537
17.06.2026 06:09:40;504,961;8,65154;115,996;1227,89;8,17588;63,8;438,421;76,7;307,905;1994,71;1240,8;12,8882
17.06.2026 06:09:50;496,589;8,77989;112,7;1301,41;8,17588;63,8;442,54;76,7;303,746;1997,46;1314,39;12,9686
17.06.2026 06:10:00;519,509;8,72156;86,1821;1358,87;8,17588;63,8;452,342;76,7;303,52;1997,91;1371,98;13,1136
17.06.2026 06:10:10;521,193;8,2239;78,8283;1395,98;8,17588;33,7;456,507;76,7;333,485;1937,51;1409,22;13,2108
17.06.2026 06:10:20;511,578;8,4489;99,0376;1353,69;8,17588;33,7;454,773;76,7;329,288;1920,32;1367;13,2951
17.06.2026 06:10:30;508,897;8,15497;123,028;1316,22;8,17588;33,7;451,073;76,7;327,82;1885,43;1329,27;13,0454
17.06.2026 06:10:40;510,374;8,48306;170,406;1360,22;8,20026;33,7;450,308;76,7;306,965;1831,08;1373,65;13,4474
17.06.2026 06:10:50;502,355;7,93711;185,792;1373,76;8,20026;33,7;443,106;76,7;304,355;1863,5;1387,34;13,5869
17.06.2026 06:11:00;494,184;8,33532;197,83;1337,66;8,20026;33,7;438,465;76,7;306,475;1845,74;1351,34;13,6798
17.06.2026 06:11:10;491,299;8,44618;212,589;1196,51;8,20026;33,7;445,401;76,7;307,003;1907,42;1209,84;13,3499
17.06.2026 06:11:20;492,641;8,32291;196,006;1174,2;8,20026;33,7;452,168;76,7;308,093;1931,67;1187,45;13,2558
17.06.2026 06:11:30;476,617;8,11288;193,961;1176,46;8,20026;33,7;456,899;76,7;312,395;1960,56;1190,11;13,6548
17.06.2026 06:11:40;478,104;7,58608;200,808;1198,83;8,20026;33,7;455,257;76,7;332,188;2006,81;1212,41;13,5706
17.06.2026 06:11:50;501,813;7,78792;201,091;1217,56;8,20026;33,7;457,146;76,7;320,011;1999,95;1230,83;13,2707
17.06.2026 06:12:00;511,959;8,52634;204,152;1241,53;8,20026;33,7;454,346;76,7;310,377;2053,48;1254,86;13,3464
17.06.2026 06:12:10;506,969;8,63124;203,46;1352,84;8,10126;33,7;464,155;76,7;303,721;2034,4;1366,46;13,6175
17.06.2026 06:12:20;520,187;8,71912;183,508;1280,27;8,10126;33,7;462,667;76,7;296,972;1967,57;1293,77;13,4567
17.06.2026 06:12:30;522,523;8,38759;192,174;1233,45;8,10126;33,7;458,247;26,7;306,428;1973,35;1246,55;13,11
17.06.2026 06:12:40;523,364;7,67321;188,789;1140,67;8,10126;33,7;452,007;26,7;311,89;1971;1153,16;12,4811
17.06.2026 06:12:50;515,87;8,31472;216,846;1138,34;8,10126;33,7;450,872;26,7;298,192;1921,62;1151,35;13,0587
17.06.2026 06:13:00;531,408;8,33021;221;1154,86;8,10126;33,7;463,089;26,7;298,484;1938,51;1167,86;13,0236
17.06.2026 06:13:10;525,704;8,54945;227,033;1167,23;8,10126;33,7;452,734;26,7;302,451;1917,29;1180,77;13,5527
17.06.2026 06:13:20;518,24;8,24286;244,244;1068,4;8,10126;33,7;461,166;26,7;315,208;1983,12;1082,14;13,7247
17.06.2026 06:13:30;530,072;8,51046;238,916;1079,6;8,10126;33,7;464,346;26,7;308,144;2002,73;1092,83;13,2331
17.06.2026 06:13:40;516,235;8,97385;240,268;1097,3;7,98259;33,7;453,459;26,7;302,119;2027,92;1110,51;13,2053
17.06.2026 06:13:50;520,471;8,7161;222,694;1209,14;7,98259;33,7;454,389;26,7;303,075;2105,43;1222,52;13,4105
17.06.2026 06:14:00;518,517;9,31971;226,275;1131,06;7,98259;33,7;454,245;26,7;295,865;2032,48;1144,14;13,0968
17.06.2026 06:14:10;526,667;8,51232;203,425;1126,35;7,98259;33,7;447,477;26,7;295,118;2050,19;1139,32;12,9612
17.06.2026 06:14:20;543,381;8,02829;202,764;1134,17;7,98259;33,7;437,021;26,7;310,161;2003,6;1147,49;13,2984
17.06.2026 06:14:30;543,705;7,91914;189,13;1106,49;7,98259;33,7;436,598;26,7;309,135;1990,97;1119,38;12,8647
17.06.2026 06:14:40;546,059;7,95491;147,699;1038,89;7,98259;33,7;425,839;26,7;313,394;1995,43;1051,39;12,4941
17.06.2026 06:14:50;523,739;7,6445;190,441;1159,13;7,98259;33,7;436,148;26,7;325,8;1985,61;1172,54;13,4128
17.06.2026 06:15:00;510,548;7,54279;222,653;1161,59;7,98259;33,7;433,991;26,7;331,983;1963;1175,52;13,9299
17.06.2026 06:15:10;510,282;7,34722;197,606;1169,97;7,99016;33,7;437,986;26,7;323,628;1884,99;1183,75;13,773
17.06.2026 06:15:20;509,745;7,19466;200,962;1282,3;7,99016;33,7;436,719;26,7;337,673;2052,53;1296,42;14,1232
17.06.2026 06:15:30;513,728;8,06922;197,017;1289,49;7,99016;33,7;444,054;26,7;330,255;2095,84;1303,48;13,9893
17.06.2026 06:15:40;533,254;8,27631;156,627;1304,04;7,99016;33,7;433,885;26,7;325,388;2074,54;1317,58;13,5573
17.06.2026 06:15:50;530,409;7,81692;200,938;1382,24;7,99016;33,7;429,343;26,7;335,895;2052,4;1396,76;14,525
17.06.2026 06:16:00;523,333;8,72496;183,861;1322,14;7,99016;33,7;429,445;26,7;323,31;2023,57;1335,87;13,6836
17.06.2026 06:16:10;552,665;9,48457;128,764;1317,94;7,99016;33,7;429,141;26,7;321,114;1960,52;1331,34;13,4008
17.06.2026 06:16:20;550,983;8,50234;110,135;1353,43;7,99016;33,7;433,517;26,7;332,855;2046,94;1366,9;13,48
17.06.2026 06:16:30;539,929;8,63041;103,747;1291,37;7,99016;33,7;436,632;26,7;335,373;1974,69;1304,5;13,1248
17.06.2026 06:16:40;540,731;8,41197;65,7597;1255,72;8,18209;33,7;432,364;26,7;345,897;1897;1267,99;12,2642
17.06.2026 06:16:50;555,657;8,71673;25,3813;1386,47;8,18209;33,7;437,641;26,7;340,514;1837,47;1398,65;12,1599
17.06.2026 06:17:00;546,605;8,71008;56,7211;1374,5;8,18209;33,7;441,487;26,7;338,182;1844,76;1387,16;12,636
17.06.2026 06:17:10;551,498;8,85396;50,0534;1445,66;8,18209;33,7;450,365;26,7;334,703;1758,45;1458,33;12,66
17.06.2026 06:17:20;552,414;8,66619;53,38;1423,27;8,18209;33,7;450,559;26,7;334,341;1634,86;1435,96;12,6961
17.06.2026 06:17:30;562,363;8,9616;44,6605;1404,21;8,18209;33,7;452,848;26,7;321,622;1710,98;1416,48;12,2339
17.06.2026 06:17:40;554,336;9,30215;69,8617;1418,59;8,18209;33,7;447,333;26,7;328,563;1672,31;1430,87;12,2755
17.06.2026 06:17:50;534,306;9,7725;71,669;1366,24;8,18209;33,7;435,9;26,7;314,643;1665,49;1378,42;12,1948
17.06.2026 06:18:00;536,338;10,3389;80,2457;1329,47;8,18209;33,7;435,311;26,7;307,1;1633,19;1341,75;12,293
17.06.2026 06:18:10;546,811;9,64282;80,5685;1314,05;8,14428;33,7;435,178;26,7;314,947;1662,36;1326,27;12,1895
17.06.2026 06:18:20;539,806;9,22242;48,628;1236,78;8,14428;33,7;433,964;26,7;310,752;1662,65;1248,68;11,8797
17.06.2026 06:18:30;554,854;8,07308;37,595;1210,89;8,14428;33,7;434,033;26,7;331,335;1704,73;1222,38;11,5095
17.06.2026 06:18:40;563,824;8,33943;-0,651151;1196,34;8,14428;33,7;441,813;24,6;334,97;1684,55;1207,62;11,2742
17.06.2026 06:18:50;543,163;8,43849;53,6694;1249,49;8,14428;33,7;443,319;24,6;338,383;1690,66;1261,5;11,991
17.06.2026 06:19:00;533,848;8,43691;82,4886;1377,16;8,14428;33,7;446,746;24,6;328,817;1657,85;1390,01;12,88
17.06.2026 06:19:10;521,415;8,12764;123,532;1403,72;8,14428;33,7;444,563;24,6;331,24;1543,05;1417,06;13,3392
17.06.2026 06:19:20;516,991;8,03444;84,7003;1410,32;8,14428;33,7;443,808;24,6;331,681;1683,53;1423,27;12,967
17.06.2026 06:19:30;521,342;8,7597;76,4866;1369,84;8,14428;33,7;441,764;24,6;325,491;1792,83;1382,28;12,4339
17.06.2026 06:19:40;542,12;9,14302;93,2306;1399,8;8,19445;33,7;440,679;24,6;321,714;1849,7;1412,48;12,651
17.06.2026 06:19:50;529,676;9,09987;120,155;1335,6;8,19445;33,7;446,961;24,6;314,99;1763,45;1348,51;12,8943
17.06.2026 06:20:00;520,956;9,23351;137,895;1300,43;8,19445;33,7;454,326;24,6;316,061;1724,53;1313,53;13,0836
17.06.2026 06:20:10;524,109;9,1019;96,0332;1287,2;8,19445;39,2;443,223;24,6;316,18;1741,73;1299,81;12,6084
17.06.2026 06:20:20;543,964;8,6797;68,964;1256,37;8,19445;39,2;443,011;24,6;319,807;1811,07;1268,5;12,1462
17.06.2026 06:20:30;536,062;8,80682;94,7301;1257,4;8,19445;39,2;445,441;24,6;317,436;1850,29;1269,49;12,0966
17.06.2026 06:20:40;539,057;9,03116;78,2207;1269,67;8,19445;39,2;435,951;24,6;308,508;1805,69;1281,71;12,0287
17.06.2026 06:20:50;540,493;8,41871;78,1242;1299,74;8,19445;39,2;442,693;24,6;319,96;1704,96;1312,02;12,2878
17.06.2026 06:21:00;554,417;8,51217;97,3748;1265,41;8,19445;39,2;441,061;24,6;314,538;1707,45;1278,05;12,6687
17.06.2026 06:21:10;552,488;8,64992;94,896;1229,16;7,98452;39,2;452,037;24,6;316,135;1744,35;1241,62;12,4783
17.06.2026 06:21:20;534,988;8,26031;120,323;1307,68;7,98452;39,2;446,19;24,6;323,117;1748,34;1320,75;13,0679
17.06.2026 06:21:30;524,57;8,58658;117,965;1264,14;7,98452;39,2;435,914;24,6;315,808;1789,26;1277,1;12,9882
17.06.2026 06:21:40;516,339;8,21731;146,444;1299,01;7,98452;39,2;431,292;24,6;325,269;1787,99;1311,95;12,9593
17.06.2026 06:21:50;515,264;8,57693;135,625;1353,15;7,98452;39,2;439,684;24,6;314,964;1831,45;1366,26;13,108
17.06.2026 06:22:00;532,806;8,53153;110,484;1281,81;7,98452;39,2;431,74;24,6;314,982;1869,45;1294,59;12,8082
17.06.2026 06:22:10;530,587;8,09233;94,6609;1334,53;7,98452;39,2;445,618;24,6;327,282;1900,2;1347,45;12,9323
17.06.2026 06:22:20;522,394;7,73475;112,822;1249,9;7,98452;39,2;447,282;24,6;337,925;1872;1262,7;12,8026
17.06.2026 06:22:30;508,175;8,04396;121,631;1274,11;7,98452;39,2;439,484;24,6;324,305;1833,2;1287,26;13,1551
17.06.2026 06:22:40;528,828;7,98654;144,713;1355,35;8,05188;39,2;446,4;24,6;330,181;1804,06;1368,8;13,4572
17.06.2026 06:22:50;539,673;8,4475;135,324;1399,71;8,05188;39,2;443,917;24,6;319,547;1863,12;1413,25;13,5079
17.06.2026 06:23:00;533,385;8,63405;109,92;1348,75;8,05188;39,2;458,039;24,6;318,457;1882,59;1361,82;13,0475
17.06.2026 06:23:10;500,199;8,1651;147,481;1349,91;8,05188;39,2;453,345;24,6;322,697;1890,27;1363,38;13,4698
17.06.2026 06:23:20;519,403;8,62395;144,024;1328,12;8,05188;39,2;458,485;24,6;312,352;1885,53;1341,27;13,1659
17.06.2026 06:23:30;511,151;8,42509;166,248;1270,63;8,05188;39,2;464,928;24,6;312,297;1842,03;1283,74;13,101
17.06.2026 06:23:40;508,101;9,22741;144,414;1346,09;8,05188;39,2;485,04;24,6;296,699;1903,35;1359,03;12,9599
17.06.2026 06:23:50;506,057;8,59733;155,257;1286,68;8,05188;39,2;473,115;24,6;304,785;1897,6;1299,6;12,8746
17.06.2026 06:24:00;491,344;9,01711;185,06;1314,78;8,05188;39,2;481,247;24,6;297,002;1864,62;1327,86;13,1053
17.06.2026 06:24:10;491,222;9,37991;231,225;1158,14;8,34313;39,2;468,057;24,6;298,271;1857,18;1170,82;12,6482
17.06.2026 06:24:20;507,72;10,813;191,034;1209,34;8,34313;39,2;457,061;24,6;267,165;1869,87;1221,82;12,4948
17.06.2026 06:24:30;501,167;10,4411;221,494;1122,1;8,34313;39,2;458,242;24,6;272,232;1910,9;1134,8;12,683
17.06.2026 06:24:40;486,765;10,2066;215,673;1118,92;8,34313;39,2;456,775;24,6;277,614;1905,41;1131,57;12,6313
17.06.2026 06:24:50;500,774;9,66593;185,315;946,797;8,34313;39,2;460,267;46,8;286,045;1868,77;958,813;11,9983
17.06.2026 06:25:00;529,822;9,3682;156,279;957,711;8,34313;39,2;457,32;46,8;296,877;1916,12;969,204;11,483
17.06.2026 06:25:10;518,502;9,40643;179,273;959,7;8,34313;39,2;457,571;46,8;299,815;1983,11;971,351;11,6643
17.06.2026 06:25:20;512,426;9,98569;179,759;1053,38;8,34313;39,2;465,989;46,8;297,809;1913,86;1065,67;12,2673
17.06.2026 06:25:30;501,243;9,47442;200,417;1104,05;8,34313;39,2;471,785;46,8;295,641;1844,82;1116,83;12,7659
17.06.2026 06:25:40;522,18;9,69322;167,975;1125,28;8,09222;39,2;472,507;46,8;295,733;1891,53;1137,59;12,3287
17.06.2026 06:25:50;505,119;9,97909;183,906;1118,82;8,09222;39,2;464,067;46,8;291,735;1906,88;1131,15;12,3539
17.06.2026 06:26:00;533,016;9,93866;157,982;1157,95;8,09222;39,2;462,608;46,8;297,435;1937,23;1169,84;11,8835
17.06.2026 06:26:10;511,482;10,8181;166,816;1116,83;8,09222;39,2;457,761;46,8;278,69;1897,9;1128,88;12,032
17.06.2026 06:26:20;513,125;10,7165;140,671;1149,07;8,09222;39,2;448,824;46,8;279,241;1880,05;1161,21;12,1144
17.06.2026 06:26:30;507,533;10,2846;122,756;1120,6;8,09222;39,2;442,956;46,8;295,732;1777,57;1132,35;11,7361
17.06.2026 06:26:40;504,386;9,97485;132,541;1019,4;8,09222;39,2;453,524;46,8;295,631;1820,61;1031;11,5463
17.06.2026 06:26:50;522,811;9,72755;81,6851;1037,62;8,09222;39,2;446,856;46,8;299,946;1801,52;1048,72;11,1031
17.06.2026 06:27:00;512,527;9,21413;72,5847;1145,32;8,09222;39,2;448,045;46,8;316,523;1736,85;1157,01;11,6937
17.06.2026 06:27:10;499,935;8,76983;89,1244;1156,59;8,48677;39,2;461,785;46,8;317,685;1830,49;1167,89;11,3116
17.06.2026 06:27:20;501,282;9,30587;106,318;1235,53;8,48677;39,2;461,06;46,8;306,583;1715,27;1247,83;12,288
17.06.2026 06:27:30;498,634;8,93626;93,0068;1320,88;8,48677;39,2;461,217;46,8;308,653;1714,58;1333,12;12,2381
17.06.2026 06:27:40;496,954;8,99548;129,314;1336,1;8,48677;39,2;467,464;46,8;315,722;1719,9;1348,62;12,506
17.06.2026 06:27:50;501,293;9,93236;155,207;1245,56;8,48677;39,2;466,265;46,8;296,041;1798,01;1258,13;12,5647
17.06.2026 06:28:00;491,532;9,7411;146,028;1252,93;8,48677;39,2;465,59;46,8;296,026;1734,64;1265,38;12,4743
17.06.2026 06:28:10;485,423;9,85906;151,849;1258,53;8,48677;39,2;470,913;46,8;299,186;1762,78;1271,18;12,6466
17.06.2026 06:28:20;486,549;9,88872;155,765;1215,4;8,48677;39,2;474,226;46,8;293,163;1819,83;1227,47;12,0347
17.06.2026 06:28:30;491,022;10,5052;136,841;1194,65;8,48677;39,2;475,842;46,8;280,873;1812,93;1206,65;11,972
17.06.2026 06:28:40;487,107;10,1236;158,06;1177,48;8,50284;39,2;473,635;46,8;296,48;1816,46;1189,5;12,0087
17.06.2026 06:28:50;498,498;10,5547;142,445;1146,14;8,50284;39,2;473,438;46,8;280,679;1788,73;1157,77;11,6107
17.06.2026 06:29:00;498,075;10,5041;196,891;1015,75;8,50284;39,2;476,98;46,8;277,918;1802,32;1027,41;11,6473
17.06.2026 06:29:10;508,436;10,5997;165,699;1158,97;8,50284;39,2;475,607;46,8;269,086;1803,11;1170,97;11,9894
17.06.2026 06:29:20;514,365;10,1952;152,2;1022,38;8,50284;39,2;472,479;46,8;283,428;1756,77;1033,82;11,4096
17.06.2026 06:29:30;496,358;10,0717;157,034;1038,36;8,50284;39,2;458,475;46,8;275,994;1835,58;1049,86;11,4818
17.06.2026 06:29:40;506,708;10,1445;170,111;984,568;8,50284;39,2;463,953;46,8;280,61;1811,47;995,972;11,3822
17.06.2026 06:29:50;497,802;10,1312;182,011;996,975;8,50284;39,2;464,304;46,8;276,19;1767,74;1008,8;11,8521
17.06.2026 06:30:00;490,375;9,91957;158,782;970,506;8,50284;39,2;463,279;46,8;287,235;1798,04;982,089;11,603
17.06.2026 06:30:10;488,554;9,00391;199,761;1030,18;8,38387;28,9;466,402;46,8;307,977;1795,18;1042,64;12,435
17.06.2026 06:30:20;488,859;9,20342;175,466;1000,9;8,38387;28,9;451,806;46,8;300,174;1857,23;1012,88;11,9522
17.06.2026 06:30:30;494,372;8,99864;202,586;1009,51;8,38387;28,9;446,583;46,8;299,955;1860,7;1021,97;12,4702
17.06.2026 06:30:40;484,127;9,10733;204,827;1181,24;8,38387;28,9;454,848;46,8;295,443;1922,58;1194,16;12,9372
17.06.2026 06:30:50;482,573;9,29152;175,727;1095,31;8,38387;28,9;449,43;46,8;302,791;1882,14;1107,73;12,4305
17.06.2026 06:31:00;464,981;8,8457;197,894;1114,9;8,38387;28,9;450,333;71,6;308,435;1941,91;1127,82;12,9123
17.06.2026 06:31:10;469,57;8,16589;215,56;1119,46;8,38387;28,9;463,533;71,6;314,77;1930,96;1132,17;12,6807
17.06.2026 06:31:20;496,253;8,33311;189,252;1149,68;8,38387;28,9;465,632;71,6;317,013;1885,08;1162,44;12,7194
17.06.2026 06:31:30;493,74;8,373;151,133;1166,7;8,38387;28,9;468,709;71,6;311,38;1996,58;1179,24;12,5311
17.06.2026 06:31:40;491,245;7,88881;193,9;1297,47;8,30037;28,9;464,93;71,6;313,278;1988,8;1310,59;13,1376
17.06.2026 06:31:50;478,215;8,72263;216,495;1195,32;8,30037;28,9;468,44;71,6;301,076;1915,73;1208,44;13,1094
17.06.2026 06:32:00;464,429;8,48462;250,887;1212,34;8,30037;28,9;455,957;71,6;297,439;1857;1225,71;13,3807
17.06.2026 06:32:10;463,234;8,9366;258,8;1259,8;8,30037;28,9;456,098;71,6;290,518;1910,19;1273,29;13,4883
17.06.2026 06:32:20;476,304;8,92482;253,729;1130,58;8,30037;28,9;457,709;71,6;293,562;1963,41;1143,59;12,9999
17.06.2026 06:32:30;467,68;8,74136;249,914;1128,76;8,30037;28,9;453,498;71,6;289,647;2002,48;1141,66;12,9602
17.06.2026 06:32:40;455,199;8,06195;227,164;1095,26;8,30037;28,9;446,17;71,6;303,59;2007,8;1108,18;12,9439
17.06.2026 06:32:50;465,627;7,81511;232,275;1050,42;8,30037;28,9;433,061;71,6;319,067;2038,7;1063,35;12,9584
17.06.2026 06:33:00;454,582;8,18025;232,69;1053,29;8,30037;28,9;444,589;71,6;314,267;2046,96;1066,29;13,0266
17.06.2026 06:33:10;435,121;8,27726;237,3;1169,7;8,49438;28,9;448,097;71,6;313,526;2012,72;1183,28;13,5719
17.06.2026 06:33:20;445,611;7,76909;229,592;1234,64;8,49438;28,9;444,806;71,6;321,479;2019,95;1248,34;13,6788
17.06.2026 06:33:30;444,59;7,59114;239,707;1202,64;8,49438;28,9;447,537;71,6;328,834;2038,69;1216,45;13,7898
17.06.2026 06:33:40;448,382;8,455;239,578;1246,56;8,49438;28,9;458,136;71,6;320,264;2088,33;1260,17;13,6057
17.06.2026 06:33:50;456,55;8,54302;211,46;1336,22;8,49438;28,9;444,619;71,6;312,385;2078,8;1349,88;13,6512
17.06.2026 06:34:00;474,129;8,52192;209,819;1357,82;8,49438;28,9;447,086;71,6;315,081;2076,23;1371,62;13,8175
17.06.2026 06:34:10;470,229;8,80315;194,45;1275,44;8,49438;28,9;464,313;71,6;309,35;2067,58;1288,67;13,2243
17.06.2026 06:34:20;471,682;9,22403;154,906;1276,19;8,49438;28,9;453,343;71,6;307,866;2007,86;1289,07;12,8634
17.06.2026 06:34:30;495,317;8,55595;157,433;1247,81;8,49438;28,9;460,838;71,6;323,713;1983,83;1260,6;12,7961
