RunNo	Step	AI-784.PV	AT-557.PV	AT-690.PV	LT-819.PV	TT-394.PV	TT-453.PV	TT-350.PV	AI-457.PV	AT-773.PV	TT-395.PV	FT-840.PV	TT-813.PV	FV-461.OP	LT-216.PV	HS-290.SP	FT-723.PV	AT-401.PV	FV-878.OP	PT-486.PV	LT-303.PV	AT-265.PV	FT-547.PV	TT-300.PV	FY-418.CV	FY-180.CV	LT-635.PV	ST-522.PV	PT-891.PV	LT-815.PV	PT-464.PV	FV-245.OP	ST-604.PV	FV-696.OP	fault_class
1	29	2.93866	164.493	2.58234	991.408	4.60401	13.777	160.983	-0.00513246	2.71285	196.956	4.65547	31.3805	56.5	1912.76	10.4	58.0175	468.195	62.4	112.284	364.616	2.79997	208.956	2400.82	278.149	5.51251	1.84014	746.742	52.8883	10.1895	169.028	24.8	7.92672	23.7	6
1	30	2.93866	238.072	2.5757	964.468	4.55883	15.4289	159.636	-0.00513246	2.6395	191.78	4.83376	31.7019	56.5	1969.77	10.4	58.3075	465.14	62.4	113.214	359.262	2.80628	211.617	2347.68	263.771	5.44461	1.88886	728.091	51.5726	10.0927	178.212	24.8	8.07449	23.7	6
1	31	2.93866	36.6367	2.76964	940.437	4.51183	24.3356	152.228	-0.00513246	2.69767	198.796	4.73656	31.9229	56.5	1911.98	10.4	59.3456	461.235	62.4	114.037	364.882	2.80834	215.198	2344.27	256.673	5.50181	1.86607	718.014	55.5304	10.1263	248.179	24.8	8.07521	23.7	6
1	32	2.93866	0.401441	2.80751	943.573	4.39791	20.2176	142.794	-0.00513246	2.70326	209.396	4.99338	32.8235	56.5	1845.67	10.4	54.9287	457.473	62.4	106.283	372.103	2.83724	214.317	2364.9	257.414	5.53842	1.76426	714.947	50.3662	9.68904	251.922	24.8	7.60768	23.7	6
1	33	2.93866	0.224828	2.77676	937.283	4.59264	24.9513	136.944	-0.00513246	2.68409	199.398	4.73464	32.9528	56.5	1987.05	10.4	61.9153	467.086	62.4	103.639	373.716	2.89462	212.813	2368.79	241.729	5.5793	1.67351	708.515	49.2466	9.52702	254.299	24.8	7.24867	23.7	6
1	34	2.93866	-159.342	2.84855	926.221	4.50383	24.6556	148.418	-0.00513246	2.68286	179.465	4.66171	33.3541	56.5	2012.5	10.4	53.6084	472.834	62.4	115.637	374.332	2.9339	215.123	2307.2	226.011	5.61574	1.70297	697.955	49.6674	10.0098	273.417	24.8	7.28076	23.7	6
1	35	2.93866	-133.154	2.7162	926.6	4.60297	14.5372	155.4	-0.00513246	2.67583	198.339	4.65249	32.0689	56.5	1962.33	10.4	54.0188	480.452	62.4	113.494	381.825	2.92402	213.146	2321.08	228.54	5.59803	1.58147	709.461	51.93	10.128	294.573	24.8	6.86531	23.7	6
1	36	2.93866	-162.479	2.7897	947.288	4.40771	8.11316	151.131	-0.00513246	2.64129	211.42	4.57259	34.1635	56.5	2029.99	10.4	61.5963	473.871	62.4	110.893	381.697	2.95199	217.588	2414.75	238.892	5.59545	1.63136	713.226	50.1271	9.99435	290.804	24.8	6.79861	23.7	6
1	37	2.74669	-82.8371	2.66878	973.846	4.53978	6.9043	139.777	-0.0440781	2.69669	215.316	4.58172	33.4024	56.5	2125.32	10.4	63.5749	477.326	62.4	102.911	373.645	2.9705	211.475	2434.98	231.516	5.66879	1.57796	709.587	52.9518	10.2767	278.737	24.8	6.06014	23.7	6
1	38	2.74669	-213.069	2.64234	938.595	4.58823	19.9933	127.956	-0.0440781	2.65392	220.273	4.69661	32.4352	56.5	2050.87	10.4	67.1577	472.134	62.4	102.708	368.946	2.95321	208.371	2378.73	234.879	5.60949	1.49188	708.088	50.7228	10.6726	300.191	24.8	6.77764	23.7	6
1	39	2.74669	-193.295	2.59424	899.547	4.55463	17.8532	149.662	-0.0440781	2.68492	225.06	4.64186	33.5729	56.5	2090.06	10.4	67.593	473.166	62.4	93.6134	366.025	2.98654	204.652	2410.44	225.193	5.67021	1.60663	698.706	49.9175	10.8474	287.971	24.8	6.55279	23.7	6
1	40	2.74669	-143.592	2.40626	897.699	4.49626	25.5984	154.668	-0.0440781	2.68903	216.366	4.57095	35.2287	56.5	2174.62	10.4	70.2014	457.13	62.4	97.0836	376.963	2.93277	206.744	2386.18	244.962	5.62099	1.66644	702.247	48.5477	10.3814	289.643	24.8	6.06217	23.7	6
1	41	2.74669	-201.648	2.37988	909.106	4.4955	27.9548	155.063	-0.0440781	2.69021	217.089	4.59659	34.1476	56.5	2098.6	10.4	72.0813	465.627	62.4	94.0488	379.596	2.93236	205.341	2385.28	251.221	5.6247	1.70709	717.279	47.9888	10.6278	306.177	24.8	5.49576	23.7	6
1	42	2.74669	-357.647	2.5597	897.834	4.3898	29.0389	167.166	-0.0440781	2.72971	208.079	4.3841	32.8981	56.5	2014.57	10.4	69.8432	450.576	62.4	93.8016	380.295	2.92789	203.554	2343.39	268.062	5.65629	1.54558	718.555	50.3611	10.7984	352.382	24.8	5.83155	23.7	6
1	43	2.74669	-341.157	2.64425	935.49	4.43177	24.486	156.329	-0.0440781	2.72993	185.383	4.60639	32.0342	56.5	2155.76	10.4	70.4155	437.288	62.4	96.0212	367.656	2.98845	206.77	2322.09	293.005	5.72195	1.65475	730.105	48.3623	10.4694	346.422	24.8	5.90304	23.7	6
1	44	2.74669	-114.946	2.75147	936.82	4.41253	25.5798	166.562	-0.0440781	2.68949	208.723	4.76628	32.7007	56.5	2301.66	10.4	70.8784	439.92	62.4	81.3703	373.355	2.98403	208.485	2307.35	288.426	5.67031	1.52276	728.763	49.3299	10.469	290.561	24.8	6.21965	23.7	6
1	45	2.74669	-133.801	2.73383	923.436	4.42174	34.2582	143.437	-0.0440781	2.7008	227.179	4.72492	32.6734	56.5	2214.88	10.4	66.5414	442.39	62.4	71.2021	367.606	2.99803	209.412	2247.72	292.287	5.69767	1.54921	733.749	50.977	10.8641	260.527	24.8	6.16734	23.7	6
1	46	2.5921	-86.1978	2.72018	876.605	4.44328	34.0199	139.255	0.219295	2.65648	241.647	4.74056	32.9343	56.5	2098.75	10.4	75.697	454.637	62.4	67.5831	363.076	2.97659	209.134	2261.28	250.647	5.6343	1.57417	704.318	52.2654	10.6313	274.403	24.8	6.16051	23.7	6
1	47	2.5921	-105.822	2.75025	854.261	4.6133	29.9687	129.229	0.219295	2.62531	243.042	4.79911	33.5249	56.5	2069.54	10.4	82.2684	460.203	62.4	68.5759	366.549	3.00341	211.785	2289.5	248.633	5.62836	1.62002	708.437	53.8038	9.93198	316.265	24.8	6.69507	23.7	6
1	48	2.5921	-193.519	2.66979	838.186	4.61709	41.3244	142.682	0.219295	2.64008	254.024	4.82219	32.9695	56.5	2045.19	10.4	82.6469	456.674	62.4	78.4846	373.903	2.94497	209.929	2302.92	233.009	5.58859	1.49845	689.835	54.4161	10.0128	325.248	24.8	5.52629	23.7	6
1	49	2.5921	-115.938	2.65279	895.718	4.64592	32.1712	127.729	0.219295	2.64834	233.553	4.59984	32.1061	56.5	2046.7	10.4	68.0284	460.832	62.4	88.29	375.831	2.9747	214.558	2338.91	254.105	5.61974	1.45568	715.227	53.5501	10.0566	307.994	24.8	5.38219	23.7	6
1	50	2.5921	-27.4637	2.62514	875.383	4.53647	27.7499	139.918	0.219295	2.71571	236.028	4.45423	31.5143	56.5	2137.61	10.4	69.5574	473.89	62.4	82.206	381.047	3.08815	215.372	2322.27	217.576	5.80282	1.31865	691.957	53.1394	10.1387	329.83	24.8	5.7701	23.7	6
1	51	2.5921	-73.8092	2.74849	841.838	4.68631	26.3633	130.689	0.219295	2.72955	237.512	4.37738	32.2926	56.5	2099.14	10.4	70.3701	459.486	62.4	90.0532	376.56	3.10829	218.247	2318.41	228.305	5.83662	1.3625	687.805	51.5249	10.5774	266.715	24.8	5.43324	23.7	6
1	52	2.5921	4.68769	2.68672	868.294	4.63192	19.1607	145.451	0.219295	2.73599	257.578	4.58088	32.7693	56.5	2032.89	10.4	67.8173	470.779	62.4	79.3314	380.278	3.08989	214.389	2370.1	214.83	5.82603	1.22835	685.843	49.6853	10.1774	261.979	24.8	5.73828	23.7	6
1	53	2.5921	-5.88681	2.68633	863.217	4.62167	18.316	144.445	0.219295	2.73786	261.867	4.44198	32.4689	56.5	2049.99	10.4	71.9633	479.477	62.4	98.3562	382.66	3.13394	214	2356.29	225.862	5.86635	1.33592	705.727	49.5438	10.182	272.271	24.8	6.01724	23.7	6
1	54	2.5921	-87.704	2.66718	883.14	4.74317	-1.19033	165.983	0.219295	2.74929	266.904	4.41986	32.7495	56.5	1990.99	10.4	70.6979	485.473	62.4	102.214	386.854	3.09198	218.702	2375.78	231.194	5.84155	1.41684	716.623	49.3443	10.2989	312.748	24.8	6.35374	23.7	6
1	55	2.25615	-120.708	2.7475	852.905	4.72107	-14.0261	179.297	0.398232	2.7239	256.437	4.33169	31.3286	56.5	1994.57	10.4	69.2634	473.565	62.4	103.012	377.355	3.05885	220.821	2426.05	250.81	5.78607	1.37767	724.271	50.2141	10.0694	301.352	24.8	6.89772	23.7	6
1	56	2.25615	-79.6067	2.642	878.216	4.78141	-10.4515	160.708	0.398232	2.75756	266.389	4.54438	32.0736	56.5	2060.63	10.4	67.3009	483.301	62.4	104.666	377.361	3.07139	220.327	2410.3	254.132	5.83258	1.47174	738.823	48.6734	10.2096	274.663	24.8	6.55005	23.7	6
1	57	2.25615	35.8934	2.62	849.587	4.91667	-2.51581	165.631	0.398232	2.76303	276.281	4.53234	31.3291	56.5	2039.66	10.4	65.0875	484.353	62.4	101.091	370.106	3.01972	221.645	2405.65	237.899	5.78285	1.37068	722.269	50.1148	10.6246	240.081	24.8	7.74656	23.7	6
1	58	2.25615	-41.0099	2.49498	882.57	4.68847	3.10385	151.7	0.398232	2.79821	261.566	4.76301	30.8262	56.5	2041.19	10.4	63.2195	489.787	62.4	101.324	359.709	3.0496	219.118	2407.88	243.817	5.84525	1.53119	733.538	49.6368	10.4072	239.355	24.8	8.04982	23.7	6
1	59	2.25615	91.3187	2.52747	832.412	4.73615	5.13622	153.75	0.398232	2.86454	249.673	4.90805	30.9622	56.5	1950.73	10.4	67.6692	492.762	62.4	103.838	369.239	2.96946	226.113	2440.16	229.672	5.83314	1.67128	722.653	47.0376	10.5173	235.551	24.8	8.15195	23.7	6
1	60	2.25615	58.4884	2.66385	892.759	4.68778	10.806	132.82	0.398232	2.88456	242.326	4.68725	31.0593	56.5	2003.7	10.4	70.6323	502.346	62.4	93.0468	339.814	2.92054	223.682	2464.64	217.231	5.80925	1.56378	719.002	47.1799	10.1893	260.796	77.8	8.1285	23.7	6
1	61	2.25615	33.0946	2.86623	910.393	4.58257	19.4471	151.68	0.398232	2.95473	242.377	4.54225	31.5168	56.5	1960.04	10.4	66.9311	488.491	62.4	103.095	347.281	2.97878	231.847	2472.46	208.3	5.9338	1.56635	697.064	46.6592	10.4464	241.833	77.8	8.4574	23.7	6
1	62	2.25615	47.1638	2.93545	955.426	4.74925	7.07307	168.035	0.398232	2.85903	237.383	4.36485	31.382	56.5	1990.36	10.4	64.8066	507.109	62.4	101.997	347.815	2.9763	230.343	2487.04	205.247	5.83567	1.53199	712.659	43.6953	10.4096	241.728	77.8	8.69074	23.7	6
1	63	2.25615	-0.462269	2.98146	956.238	4.66877	-1.27042	168.242	0.398232	2.8755	249.976	4.36563	30.7597	56.5	1905.74	10.4	63.6103	507.832	62.4	110.954	354.565	2.98492	227.85	2463.16	227.822	5.86108	1.56725	736.482	48.0258	10.3529	245.753	77.8	8.78775	23.7	6
1	64	2.44832	50.211	3.04671	945.392	4.73123	-4.21758	153.229	0.267776	2.82414	233.812	4.11292	30.691	56.5	1936.51	10.4	62.0179	525.023	62.4	113.837	353.471	2.98307	230.549	2514.86	214.379	5.80413	1.52933	738.937	47.698	10.3551	237.795	77.8	8.24209	23.7	6
1	65	2.44832	72.5033	2.94757	902.61	4.73269	-20.0486	149.814	0.267776	2.80074	258.751	4.39949	30.4493	56.5	1953.98	10.4	61.8708	520.546	62.4	112.919	336.928	2.98919	229.368	2500.89	197.654	5.78919	1.48641	718.166	50.6636	10.2975	233.945	77.8	8.8786	23.7	6
1	66	2.44832	101.276	2.96063	881.245	4.76309	-7.25095	160.371	0.267776	2.77457	237.774	4.50832	30.8332	56.5	1974.42	10.4	59.203	523.366	62.4	112.542	345.262	3.0239	227.695	2586.43	192.616	5.7985	1.57133	715.669	49.7738	10.5489	216.533	77.8	9.22906	23.7	6
1	67	2.44832	203.411	2.89149	884.646	4.79792	-7.67022	163.595	0.267776	2.77736	230.423	4.54732	31.3364	56.5	1886.7	10.4	59.0937	527.564	62.4	113.816	344.202	2.98026	227.793	2577.98	201.994	5.75523	1.59021	729.775	49.8473	10.5453	189.444	77.8	8.90561	23.7	6
1	68	2.44832	171.583	2.67264	884.668	4.70782	-8.61948	142.695	0.267776	2.81316	213.895	4.37162	31.4233	56.5	1949	10.4	61.4225	522.079	62.4	119.445	344.884	2.9864	226.819	2602.66	187.926	5.79433	1.68655	709.54	49.8528	10.6545	214.253	77.8	9.13814	23.7	6
1	69	2.44832	39.1867	2.72859	881.744	4.71783	-14.98	122.696	0.267776	2.84443	202.744	4.3673	31.8174	56.5	1895.95	10.4	59.1312	534.997	62.4	122.506	347.309	2.93482	226.208	2605.85	169.013	5.78023	1.68254	703.113	45.2026	10.8057	251.41	77.8	9.01788	23.7	6
1	70	2.44832	-12.8646	2.75886	919.949	4.59698	-7.8137	138.496	0.267776	2.87082	206.763	4.47388	31.985	56.5	1879.87	10.4	60.6773	515.1	62.4	115.619	346.542	2.93468	223.328	2620.11	165.507	5.80659	1.65377	680.211	47.6975	10.5272	248.846	77.8	8.51204	23.7	6
1	71	2.44832	-49.5804	2.78515	920.334	4.72741	-11.2534	144.05	0.267776	2.81477	218.51	4.29343	31.5365	56.5	1965.04	10.4	56.6054	504.168	62.4	123.573	365.546	2.96145	223.245	2632.8	190.038	5.77841	1.67063	694.014	43.5993	10.6899	219.797	77.8	8.75741	23.7	6
1	72	2.44832	-50.9758	2.66202	854.063	4.76243	-7.53296	163.472	0.267776	2.82774	232.089	4.19139	32.6301	44.2	2048.06	10.4	50.6899	518.192	41.2	127.844	361.858	2.95998	219.282	2556.69	184.571	5.78981	1.73575	702.925	44.7986	10.8682	242.8	77.8	8.8305	23.7	6
1	73	2.80968	9.54993	2.59568	925.247	4.73568	-16.631	162.721	0.115427	2.82981	221.737	4.09253	31.8271	44.2	1908.01	10.4	60.4729	503.873	41.2	127.387	351.602	2.8927	214.8	2551.6	211.685	5.7242	1.76906	716.216	46.7893	11.1109	261.511	77.8	8.05353	23.7	6
1	74	2.80968	-49.8176	2.47953	934.937	4.65702	-16.4338	159.6	0.115427	2.79305	215.664	4.13067	32.5223	44.2	1880.28	10.4	63.7652	501.536	41.2	136.957	358.361	2.8017	215.195	2620.82	202.421	5.59853	1.74438	704.327	46.412	10.3184	242.552	77.8	7.72529	63.1	6
1	75	2.80968	31.2308	2.56846	876.205	4.59504	-23.8006	174.22	0.115427	3.0523	211.547	4.23475	31.1154	44.2	1855.44	10.4	65.9611	482.976	41.2	137.902	355.832	2.83741	207.502	2582.36	236.597	5.89004	1.6525	718.846	50.4984	10.3581	226.067	77.8	8.04667	63.1	6
1	76	2.80968	-39.0902	2.56032	897.057	4.56619	-24.7314	181.107	0.115427	3.08769	199.704	4.31621	30.6453	44.2	1890.7	10.4	66.8669	480.95	41.2	149.291	348.573	2.82344	207.036	2593.35	252.196	5.9165	1.72639	732.549	51.432	10.2696	215.281	77.8	8.4914	63.1	6
1	77	2.80968	77.8312	2.61505	897.95	4.58071	-21.4765	170.59	0.115427	3.03938	208.543	4.35291	32.1055	44.2	1834.16	10.4	59.6526	471.02	41.2	139.698	349.85	2.83343	206.372	2514.47	265.131	5.8679	1.83719	735.845	45.5876	10.3417	178.423	77.8	9.40434	63.1	6
1	78	2.80968	216.283	2.57085	873.998	4.50621	-17.2085	178.502	0.115427	3.04041	216.802	4.27659	32.7897	44.2	1841.37	10.4	64.073	479.502	41.2	130.839	339.405	2.81841	203.038	2471	250.862	5.85301	1.79595	730.415	47.6703	10.0735	150.396	77.8	9.40687	63.1	6
1	79	2.80968	9.53132	2.4855	861.758	4.53812	-22.0881	152.336	0.115427	3.00965	187.341	4.429	31.6681	44.2	1832.03	10.4	65.3251	480.613	41.2	141.544	339.702	2.76014	198.594	2460.5	253.165	5.77251	1.96404	733.682	49.1564	10.0006	190.801	77.8	9.40198	63.1	6
1	80	2.80968	-75.1535	2.59615	829.83	4.55851	-22.1545	158.92	0.115427	2.96899	190.423	4.53397	32.167	44.2	1718.15	10.4	62.2278	486.637	41.2	123.01	352.302	2.71153	196.195	2189.99	215.822	5.68231	1.96565	702.429	49.4462	9.46468	225.189	77.8	9.59084	63.1	6
1	81	2.80968	62.3766	2.53786	804.967	4.54367	-6.29766	162.696	0.115427	2.95745	214.4	4.42844	32.2623	44.2	1880.42	10.4	66.2615	465.618	41.2	120.612	339.114	2.66159	196.452	2186.24	254.703	5.62103	2.00911	719.988	50.3125	9.25865	217.745	77.8	8.77308	63.1	6
1	82	2.64947	-3.18661	2.49375	868.143	4.47691	2.83613	167.184	-0.0253867	2.89717	205.71	4.45865	31.0414	44.2	1938.14	10.4	56.6968	452.504	41.2	115.304	355.21	2.64187	196.203	2159.86	276.945	5.53939	1.92097	730.041	52.0248	9.79633	212.072	77.8	9.00547	63.1	6
1	83	2.64947	28.9421	2.53804	901.054	4.61774	6.1358	168.001	-0.0253867	2.92607	203.848	4.23814	30.4839	44.2	1814.29	10.4	57.554	447.391	41.2	113.5	346.323	2.68896	198.483	2110.3	275.792	5.61537	2.02569	722.942	54.9384	9.9465	217.749	77.8	9.38579	63.1	6
1	84	2.64947	18.1896	2.5946	916.241	4.57837	11.5771	181.466	-0.0253867	2.97523	226.009	4.34206	30.1865	44.2	1862.54	10.4	67.8378	435.734	41.2	108.56	344.499	2.70821	200.055	2072.53	281.934	5.68534	1.9812	717.625	58.1641	9.54357	211.98	77.8	8.5925	63.1	6
1	85	2.64947	154.348	2.65192	919.001	4.51913	25.1615	170.598	-0.0253867	2.97314	239.82	4.35037	31.4126	44.2	1862.56	10.4	64.1721	444.263	41.2	113.748	348.93	2.65526	199.706	2076.59	291.58	5.63315	1.79167	736.85	53.8635	9.48188	206.308	77.8	8.30193	63.1	6
